;Product Name;Price;Store;Rating;Most Popular;has_rating
131;Pure Cotton Oxford Shirt;649900;Marks & Spencer;4.9;1;1
105;Easy Iron Pure Cotton Oxford Shirt;649900;Marks & Spencer;4.9;1;1
46;Pure Cotton Ultimate Oxford Shirt;649900;Marks & Spencer;4.9;1;1
205;MEN'S SHORT SLEEVE GREEN SHIRT COLOR COMBINATION MEN;649900;Arnold Palmer;5.0;0;1
387;Fiorenza Jingga Kemeja Batik Pria Premium Slimfit Modern Lengan Panjang;650000;Batik Mayung;0.0;0;0
247;Jobb Cleyton Kemeja Pria Lengan Panjang Regular Fit Putih;659000;Jobb;5.0;0;1
102;Light Blue Regular Fit Epaulette Wrinkled Effect Linen Look Shirt TMNSS23GO00061;691900;Trendyol;5.0;0;1
15;Naura Regular Fit Long Shirt;698000;No Fear;5.0;1;1
42;Camper Regular Fit Long Shirt;698000;No Fear;5.0;1;1
175;Eaden Stand Collar Shirt;699000;Obermain;4.4;0;1
172;Pooh;699000;Hush Puppies;4.8;1;1
37;Dillion Ls;699000;Hush Puppies;4.8;1;1
91;Giordano Men's Poplin Shirt 0104200205;699000;Giordano;4.7;1;1
224;Mens Shirt - NAUW550014NV;699000;NAUTICA;0.0;1;0
368;Giordano Men's Linen Short Sleeve Shirt 0104621541;699000;Giordano;5.0;0;1
4;Giordano Men's Short Sleeve Linen Cotton Shirt 0104320208;699000;Giordano;5.0;1;1
240;Mens Shirt - NAUW550011NL;699000;NAUTICA;5.0;0;1
257;Easy Iron Pure Cotton Print Oxford Shirt;699900;Marks & Spencer;4.9;0;1
345;UA Tech 2.0 1/2 Zip Shirt;729000;Under Armour;4.8;1;1
292;Easy Iron Pure Cotton Textured Shirt;729900;Marks & Spencer;5.0;0;1
100;Easy Iron Pure Cotton Chambray Floral Shirt;729900;Marks & Spencer;4.9;0;1
289;Easy Iron Pure Cotton Striped Oxford Shirt;729900;Marks & Spencer;4.8;1;1
184;Pure Cotton Striped Oxford Shirt;729900;Marks & Spencer;5.0;0;1
122;Pure Cotton Flannel Shirt;729900;Marks & Spencer;4.9;0;1
51;The Ultimate Pure Cotton Striped Oxford Shirt;729900;Marks & Spencer;0.0;1;0
261;Easy Iron Pure Cotton Shirt;729900;Marks & Spencer;5.0;1;1
340;White Regular Fit Epaulette Wrinkled Effect Linen Look Plus Size Shirt TMNSS25AX00002;749000;Trendyol;0.0;0;0
201;NAUTICA CNY Flower - NAUWC660760R;749000;NAUTICA;0.0;0;0
76;Classic Shirt;759000;Trendyol;0.0;0;0
86;Flannel Plaid Shirt;759000;Trendyol;4.8;0;1
370;Classic Long Sleeve Shirt;779000;KOTON;0.0;0;0
276;Manta Shirt;799000;Blood & Bone;5.0;0;1
216;T.S.O.P Shirt Black;799000;Blood & Bone;0.0;0;0
81;Cotton Rich Jacquard Shirt;799900;Marks & Spencer;4.7;0;1
318;Pure Cotton Hawaiian Shirt;799900;Marks & Spencer;5.0;1;1
8;Pure Cotton Geometric Print Shirt;799900;Marks & Spencer;0.0;1;0
